"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3932468492","223927","9943","04 Jun 2018 10:01","34:30","2070","22-23","22,23","Radiant","Evil Geniuses","Cr1t-, s4, Arteezy, Fly, SumaiL","Team. Spirit","Illidan, G, Fng, DkPhobos, Biver"
"3932378219","223917","9943","04 Jun 2018 08:46","32:27","1947","25-16","25,16","Radiant","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC"
"3932294528","223917","9943","04 Jun 2018 07:28","47:33","2853","32-26","32,26","Radiant","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC"
"3932214146","223917","9943","04 Jun 2018 06:05","53:52","3232","39-18","39,18","Radiant","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne"
"3932161077","223898","9943","04 Jun 2018 05:03","20:28","1228","24-6","24,6","Radiant","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H"
"3932111656","223898","9943","04 Jun 2018 04:01","35:11","2111","21-40","21,40","Dire","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle"
"3931151617","223687","9943","03 Jun 2018 03:37","34:13","2053","38-10","38,10","Radiant","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR"
"3930995463","223687","9943","03 Jun 2018 02:24","41:29","2489","41-30","41,30","Radiant","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon"
"3930896312","223673","9943","03 Jun 2018 01:33","21:45","1305","26-12","26,12","Radiant","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade"
"3930871882","223687","9943","03 Jun 2018 01:20","33:36","2016","35-14","35,14","Radiant","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR"
"3930752760","223665","9943","03 Jun 2018 12:13","24:49","1489","28-9","28,9","Radiant","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon","The Final Tribe","Handsken, jonassomfan, Era, Pablo, Frost"
"3930746428","223673","9943","03 Jun 2018 12:10","50:27","3027","33-44","33,44","Radiant","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade"
"3930642875","223665","9943","03 Jun 2018 11:12","37:32","2252","17-26","17,26","Dire","The Final Tribe","Handsken, jonassomfan, Era, Pablo, Frost","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon"
"3930614997","223655","9943","03 Jun 2018 10:57","35:45","2145","41-15","41,15","Radiant","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade","Infamous","papita, Stinger, Accel, Matthew, Kotarō Hayama"
"3930501529","223655","9943","03 Jun 2018 09:54","35:29","2129","16-31","16,31","Dire","Infamous","papita, Stinger, Accel, Matthew, Kotarō Hayama","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade"
"3930496811","223646","9943","03 Jun 2018 09:51","47:39","2859","45-24","45,24","Radiant","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR"
"3930369369","223639","9943","03 Jun 2018 08:35","37:02","2222","20-41","20,41","Dire","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"3930343388","223646","9943","03 Jun 2018 08:19","57:51","3471","49-41","49,41","Dire","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne"
"3930266193","223639","9943","03 Jun 2018 07:26","39:51","2391","37-30","37,30","Radiant","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC"
"3930216789","223615","9943","03 Jun 2018 06:50","43:09","2589","24-30","24,30","Dire","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR"
"3930153082","223616","9943","03 Jun 2018 05:58","41:49","2509","32-34","32,34","Radiant","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade"
"3930149324","223614","9943","03 Jun 2018 05:55","33:56","2036","29-9","29,9","Radiant","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne","The Final Tribe","Handsken, jonassomfan, Era, Pablo, Frost"
"3930125995","223615","9943","03 Jun 2018 05:34","40:29","2429","25-32","25,32","Dire","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR"
"3930123077","223619","9943","03 Jun 2018 05:31","36:12","2172","21-44","21,44","Dire","Infamous","papita, Kotarō.sr4ever, Stinger, Accel, Matthew","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"3930084254","223616","9943","03 Jun 2018 04:55","35:35","2135","29-22","29,22","Radiant","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade"
"3930082757","223614","9943","03 Jun 2018 04:54","37:25","2245","10-31","10,31","Dire","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne","The Final Tribe","Handsken, jonassomfan, Era, Pablo, Frost"
"3930055489","223619","9943","03 Jun 2018 04:27","32:56","1976","18-44","18,44","Dire","Infamous","papita, Stinger, Accel, Matthew, Kotarō Hayama","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"3930018175","223616","9943","03 Jun 2018 04:01","24:48","1488","3-24","3,24","Dire","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade"
"3930017604","223615","9943","03 Jun 2018 04:01","42:03","2523","14-44","14,44","Dire","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon"
